"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"decoy_4792","0.47037","0.379473","0.716687","0.7373","0.591733","0.496426","-5.457","fhyp@@@XxeLkvmkSfc^BDDUP@DPX`@","c1ccc2c(c1)CC[C@H](Nc1cnccn1)C2"
"decoy_4794","0.478357","0.410588","0.752403","0.653565","0.581057","0.533985","-7.727","fbmI@@DDtDFQQJIIJZIIFQoASejAB`J@DAAeuCT","O=C(N/N=C/c1ccccc1)c1ccc2ncnc-2c1"
"decoy_4796","0.194727","0.178028","0.432343","0.421081","0.238545","0.223227","-4.331","dcmH@HXDi]YWBWZVjjh@@","c1nocc1CN1CCCCC1"
"decoy_4797","0.202792","0.229494","0.347832","0.45731","0.270498","0.301036","-3.453","dgH@NePrQQIEQITqwUUP@QDH@","c1cnc(NC[C@H]2CCCCO2)nc1"
"decoy_4800","0.264346","0.244635","0.541371","0.541966","0.352464","0.336246","-4.711","fluI@@FF\dBTklkkJdhkTTuUUUP@T@@@","c1cc(NC2CCN(C3CCOCC3)CC2)ncn1"
"decoy_4802","0.263147","0.257961","0.594653","0.56005","0.338278","0.335903","-4.275","fj}Hb@LDeG`PAFRJKZYQISPjXi[vRtsMUUMUU@t@@","O=C(C[N@]1CCC[C@H](C(=O)NC2CC2)C1)Nc1nccs1"
"decoy_4804","0.337928","0.317734","0.576858","0.563432","0.380274","0.376155","-7.198","ffsq@@DRlCHheEMDdd]DeSaoV\VkSUUML@CHcBX`@","O=C1N=c2ccccc2=C[C@@H]1[C@H]1CC(c2ccccc2)=NN1"
"decoy_4810","0.412463","0.37036","0.691506","0.622678","0.446464","0.414222","-5.234","fdeQb@NB`ap@cIIBdeDhlmQbmAbmUUPHEBJQd@@","O=C1CN[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1"
"decoy_4811","0.469733","0.390995","0.704028","0.617726","0.583325","0.497447","-7.623","fhyI@@D\uxFQQJJIIJUJmhw`mPREEPp@@","O=C(Nc1ccn[nH]1)c1ccc2c(c1)CCN2"
"decoy_4814","0.406911","0.400866","0.67773","0.706541","0.3999","0.398319","-4.497","foAq@@DTLAIeYeUtxufjB`TH@@","O=C(Cn1ccnc1)Nc1ccccc1"
"decoy_4815","0.323922","0.292049","0.621762","0.614926","0.375471","0.350085","-4.26","foAP`@JBAiJUuUeIRsjjjjZd@@","c1coc(CNCCN2CCOCC2)c1"
"decoy_4817","0.329097","0.289819","0.532996","0.50261","0.481629","0.437324","-8.632","dk]D@DDCRYWYTjWVjZjZciEP","O=C1CC/C(=C\[C@@H]2CCC(=O)N2)N1"
"decoy_4818","0.581104","0.488226","0.781858","0.756691","0.677667","0.592572","-10.054","fduqB@LJuH@PeLrlk{dXHvgAcPRCQUTL@@","O=c1[nH]cnc2c1sc1ncc3c(c12)CCCC3"
"decoy_4819","0.436502","0.36807","0.776393","0.787061","0.487925","0.430094","-3.561","foA``@D@\drsJkjlYsUUUUT@@","O=C(NC1CCOCC1)C1CCCCC1"
"decoy_4820","0.498313","0.406809","0.817568","0.817235","0.576173","0.507055","-3.973","fhia@@D@RYVUYwU[pViB@@@@PI@","O=C(/C=C/c1ccccc1)Nc1ccccc1"
"decoy_4823","0.360576","0.319609","0.583526","0.588503","0.496489","0.453463","-8.559","flmpb@LDlFH@cIEDdcDeLeBTYps`iifh@bfd`@@","O=C1COc2ccc(-c3csc4nccn34)cc2N1"
"decoy_4825","0.445205","0.417119","0.703582","0.716846","0.498097","0.461515","-4.577","dew@@@adi[mrafZiiP@","c1c[nH]c(-c2cc[nH]n2)c1"
"decoy_4828","0.502001","0.45278","0.806523","0.731292","0.616048","0.561104","-6.226","fhiq`@DXHBUlbbRTTjTRxKpVjjYijPPU@","O=C(/C=C/c1ccco1)NNC(=O)NC1CC1"
"decoy_4830","0.496754","0.40521","0.718095","0.70528","0.555223","0.478024","-6.191","fbuQb@FZyJp@aJY}[VyWEDyieijX@HABd@","O=C(CNC(=O)c1ccccc1)O/N=C/c1cccs1"
"decoy_4834","0.375517","0.323545","0.762595","0.752924","0.413835","0.36776","-4.985","f`q``@F@deL~jrnJN}UUU@ADHH@","c1ccc(OCCNC[C@H]2CCCO2)cc1"
"decoy_4836","0.361596","0.320119","0.740739","0.636106","0.44096","0.41711","-5.298","fleQb@NZ`aP@cIIBedieDdjLbeZjijjjhTP@","O=C(CN[C@H]1CCS(=O)(=O)C1)NC1CCCCCC1"
"decoy_4838","0.207567","0.199072","0.340326","0.351986","0.328359","0.312323","-5.859","dg|h@Ne[CIDeBeDdUG]UU@ADX`@","c1ncnc(NC[C@H]2CCCOC2)n1"
"decoy_4839","0.391664","0.423279","0.63305","0.700046","0.494384","0.519946","-9.232","fluPb@MN|d@QdbbvbRfRbNJJLFMLpAEMLP@@","O=C1CC(=O)Nc2cc(Cc3cccs3)ccc2N1"
"decoy_4841","0.404403","0.363842","0.692136","0.589882","0.521601","0.477346","-6.153","f`qHb@LDdXV`AFRJIIRjYQgG^ijffjX@@","O=C(CSc1ncc[nH]1)NC(=O)NC1CC1"
"decoy_4843","0.256786","0.232806","0.435952","0.443145","0.309638","0.293763","-3.758","fhyP`@IF@KHhiDichdj\xkpVjij@BaBEr@@","O=C1C[C@@H]2CC[C@@]1(C(=O)Nc1ccccn1)C2"
"decoy_4847","0.189523","0.176889","0.425379","0.41271","0.244321","0.238903","-5.34","fdep`@EV\BbTrnzkKbgAAcPPEUTlP@@","c1cnn(CCNCc2ccc3c(c2)OCO3)c1"
"decoy_4848","0.36093","0.374572","0.650059","0.699996","0.477543","0.488423","-5.831","fleP`@DDAIIeVY]{SNbejhFBJh`@@","O=C(Cc1ccccc1)NNC(=O)CC1CCCC1"
"decoy_4850","0.531396","0.429524","0.784841","0.796814","0.614296","0.527706","-3.972","fluQ@@DBAdTRbLRVTRUFZMEKUT@D@D@@@","O=C(NCc1ccc(-c2ccccc2)cn1)C1CC1"
"decoy_4852","0.466872","0.492131","0.702646","0.785343","0.488007","0.518403","-6.403","fgAqB@DXYp@QdTTRTLRHsQcVZjZjZlT`hZ@@","O=c1[nH][nH]c(=S)n1[C@@H]1C[C@@H]2C=C[C@H]1C2"
"decoy_4853","0.24127","0.266376","0.439009","0.52702","0.336624","0.335718","-6.24","fluP`@DTAKHheDdhTidaRlzJVjY`@@H@@@","O=C(NCc1ccc2ccccc2c1)c1cocn1"
