"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"decoy_1781","0.310687","0.330784","0.509211","0.581554","0.336749","0.3591","ffsaB@EF@DISOZrn|kbdmN|VmLuTkT@EP`b\`@","O=C1C[C@H](c2cccs2)CC2=C1[C@@H](c1ccccc1)CC=N2"
"decoy_1782","0.311996","0.365262","0.494293","0.841086","0.346218","0.397694","f`i``@C@peLkwJ}NJL{uUUHPEDHH@","c1ccc2c(O[C@@H]3CCCCO3)c[nH]c2c1"
"decoy_1783","0.355994","0.388546","0.581919","0.695143","0.42698","0.48159","fhiq@@DX\AIeYUg]UoAZhH@@@@@","O=C(NCc1cccnc1)Nc1ccccc1"
"decoy_1784","0.508116","0.590683","0.736166","0.858062","0.548872","0.591273","fhyP`@DA@kHhhhddiTaRUkpVjZijjh@@","O=C(c1ccoc1)N1CCC2(CCNCC2)C1"
"decoy_1785","0.398673","0.369122","0.687415","0.693732","0.403189","0.401248","fhy``@D@EdTRbRfTJUNJuxKTsU@AIAb@@","O=c1[nH]ccc2c1[C@H](c1ccccc1)C=CO2"
"decoy_1786","0.343365","0.380268","0.572035","0.660321","0.419882","0.469004","figHb@LVCVB@AFRRFJIIK[JJIKJlYvZ}FmTEAETBAD@@@","O=S(=O)(c1ccccc1)N1CCN(Cn2cnc3ccccc32)CC1"
"decoy_1787","0.43366","0.372307","0.678547","0.650357","0.495657","0.452378","fnkQB@L^X@HRf_YVv^uqSQoQjvfZ@Bj`@bHV`@","c1ccc([C@@H]2NCCc3ccc(OCc4nccs4)cc32)cc1"
"decoy_1788","0.376977","0.346635","0.692978","0.686049","0.420699","0.399581","figqb@LNSAE`AFRRFJIIKPqIJEJl[vR}FmTEAQTmUE@@@","O=S(=O)(c1ccc(N2CCCC2)c(-n2cccc2)c1)N1CCOCC1"
"decoy_1789","0.271702","0.30546","0.460924","0.524439","0.314347","0.3414","fmIA@FQzlH@apQdbbttTRRtjbRfVJJL{sQsWSMTuRsRtmUPIHQ`","O=C(CN1CCc2sccc2[C@H]1c1cccs1)/N=C1\C=CC2=NC=NC2=C1"
"decoy_179","0.37139","0.281451","0.760536","0.597025","0.42158","0.31234","dcmHPItPBFBDigvWJWZYjZd@@","c1csc(CSc2nnco2)c1"
"decoy_1790","0.296724","0.397864","0.575329","0.677065","0.376078","0.512889","eghVH@@DBECO@`DfVUYw]e]YVPqsrihzyjB@@B`@h@@@@@","O=C(NNc1cc(Nc2ccc(Cc3ccccc3)cc2)ncn1)c1ccncc1"
"decoy_1791","0.40575","0.340836","0.613935","0.61186","0.482504","0.445047","fbmqB@LZLh@QdbbbrTjRbRIPTdyjVjZX@J@PM@","O=C(N/N=C/c1ccccc1)Nc1cc2c(s1)CCC2"
"decoy_1792","0.387578","0.303468","0.691169","0.60215","0.451085","0.37078","fj}Q@@DL@dsKJsZru[vRmUUUU@AP`dy@@","O=C(CNCc1ccccc1)N1CCC[C@H]2CCCC[C@H]21"
"decoy_1793","0.347414","0.293322","0.609471","0.560307","0.426012","0.35954","fi{qB@LDCx@QdbbRTVRVaRTRWEF]t]A@@DMT@@@@@","O=C(NCCc1ccccc1)c1cnc(SCc2ccccc2)nc1"
"decoy_1794","0.392592","0.437254","0.626475","0.648424","0.4621","0.505855","fbuq@@DTlAIeYU_YUQdyZhHHh@@@@","O=C(CNCCNc1ccccc1)Nc1ccccc1"
"decoy_1795","0.278646","0.301463","0.372313","0.40263","0.301752","0.334124","fjcH@@@PiqJYenVwWqRQ`yRVZjhH@@EBAD@","C1=C[C@@H](c2ccccc2)n2nc(-c3ccccc3)nc2N1"
"decoy_1796","0.462947","0.329361","0.76378","0.558515","0.530768","0.37546","feoq`@DIfAT\bbbbfbbVTutRUFJmXOlcfuUAU@lUUUDSDYNRr@@","O=C(NC1CCNCC1)[C@H]1[C@H]2C=C[C@]3(CN(c4ccccc4)C(=O)[C@H]13)O2"
"decoy_1797","0.383854","0.264354","0.580916","0.400366","0.402584","0.313921","fhyI@@LTYXFRJIEJJIKDijw`uMLuTlpHL`","C1=C(N/N=C/C2=c3ccccc3=NC2)OCN1"
"decoy_1798","0.392716","0.352632","0.673862","0.565833","0.489082","0.480334","fa{h@@@XIPnRJJIIIQQIIHyg@qrvoPJB`B`Bb@hRP@","c1ccc(Nc2nc(N[C@H]3CCCNC3)c3ccccc3n2)cc1"
"decoy_1799","0.316883","0.408224","0.545177","0.679416","0.376429","0.468397","fcQb@LY``h@cIIBhhdheheecDeks`ijoZtaP@dDd@A@BAH","O=C1C(Nc2ccccc2)=C/C(=N\S(=O)(=O)c2ccccc2)c2ccccc21"
"decoy_18","0.307539","0.27465","0.788268","0.812071","0.395217","0.383866","f`qA@@@ILrj}jISoM@a@@@BEH","O=C(/C=C/c1ccccc1)c1ccccc1"
"decoy_180","0.39799","0.454426","0.685271","0.72425","0.480295","0.523407","ffcI`@DXux@TyEEDdhldmCDaZmxmVjjjjfjjhQ`@","O=C(NC1CCNCC1)N1CCN(C(=O)[C@@H]2CCCO2)CC1"
"decoy_1800","0.461348","0.445683","0.640145","0.649804","0.502475","0.505404","fhyH@@@XiKIEDeLThdj\EKpP`bj@@`@@","c1ccc(C[N@@]2CNc3ncncc3C2)cc1"
"decoy_1801","0.298708","0.430963","0.495162","0.717001","0.369429","0.48744","ffcQb@LIyKP@cIEDcLeLhhdlR`TekTluMMUKL@@","O=C(COC(=O)CC1=c2ccccc2=NC1)Nc1cccs1"
"decoy_1802","0.488488","0.460387","0.71835","0.632166","0.484005","0.455845","fdePb@L^``@QddaTTRRVbtzw`qVhJBbhkEHZVP@","O=S(=O)(N[C@H]1C[C@@H]2CC[C@H](C1)N2)c1ccccc1"
"decoy_1803","0.302713","0.30617","0.54253","0.571608","0.362921","0.389273","fig`P@D@]T^QQQQIIQQYIZUZBenR}FuPT@RATTC@@@","O=C(c1ccccc1)N(Cc1ccc2c(c1)OCO2)Cc1ccco1"
"decoy_1804","0.329084","0.342778","0.594332","0.638359","0.402479","0.402164","fcab@LPQD@QddabbbbRffrtvVTYvZcWmZhJh@X@@A@QRL`@","O=C(c1ccccc1)[C@H]1C=C[C@H](c2ccccc2)N1S(=O)(=O)c1ccccc1"
"decoy_1805","0.411124","0.450081","0.655399","0.744051","0.438523","0.460023","dg~h`LJSo`BDig{Y\h{ifZiZ@@","O=C(Cn1cnnc1)Nc1nccs1"
"decoy_1806","0.233486","0.338066","0.422553","0.580971","0.296216","0.408971","figIB@LDUDH@cIEELdhdehchdlTd[r^ci``@`X`@`@@@","O=C(Nc1ccccc1)c1ccc2nc(Nc3ccccn3)sc2c1"
"decoy_1807","0.426027","0.472476","0.690307","0.688456","0.452399","0.492348","fbmIB@DXMeH@aIeYeUw[ScVcej`hJJfJQRV`@","O=C1NCC[N@]2C[C@H](NC(=S)Nc3ccccc3)C[C@H]12"
"decoy_1808","0.450778","0.347549","0.730761","0.695636","0.514687","0.427546","dg~H@FAJY}YWJNzYj@B@@","c1ccc(CNCc2ccco2)cc1"
"decoy_1809","0.28896","0.268542","0.491078","0.49858","0.322424","0.312419","fiwQ@@NFAdTTRbRRRTVTjPeRtzJ\}FtDQDQP@@b@@@","O=C1CCc2ccn(-c3ccccc3)c2-c2nc3ccccc3cc21"
"decoy_181","0.260114","0.286168","0.472898","0.541159","0.320904","0.356193","fhyA`@@TTeLknlkbgA^CPPEP@P@@@","c1ccc(OCc2ccc3c(c2)OCO3)cc1"
"decoy_1810","0.45573","0.488183","0.701139","0.715292","0.495206","0.535801","flupB@DX|@HrJIJJIIKQGSk^bej`hJJhkEHZVP@","S=C(Nc1ccccc1)N[C@H]1C[C@@H]2CCC[C@H](C1)N2"
"decoy_1811","0.305168","0.349319","0.604208","0.780751","0.418912","0.457998","feoQ`@JQ@cVQQJIIJJIIIPyXeEFCGKQsZiZiBh@@JP`jPh`","O=c1oc2n(/c1=C/c1ccccc1)-c1ocnc1[C@@H](c1ccccc1)C=2"
"decoy_1812","0.332946","0.367299","0.542681","0.576227","0.360405","0.396277","fmoIb@NcfnBL@BLddJbbRRqTTTRRtzwncfmZ`@@BjVZ`f@T@","O=S(=O)(Oc1ccc([C@@H](C2=CN=NC2)c2cn[nH]c2)cc1)c1ccccc1"
"decoy_1813","0.326026","0.380515","0.593666","0.719157","0.393865","0.458491","fewI@@DB\TBSKJljjrlc^SGHymPP@@@EUPD@@","O=C(NCc1ccc(N2CCCCC2)nc1)c1cnc2ccccc2c1"
"decoy_1814","0.387964","0.300839","0.754994","0.71996","0.481468","0.408789","foAa@@D@RYYeUuVLyjB`hb@@","O=C(NC1CCCCC1)c1ccccc1"
"decoy_1815","0.304739","0.191346","0.586962","0.439922","0.395468","0.277381","fj}QB@LDD@HRfYuyeUrTCeIZZYh@@@`@aCQ@","O=C1N/C(=N/Cc2ccccc2)S/C1=C\c1ccccc1"
